Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location,Is_Duplicate
Karchi,4.2,"North Indian,Mughlai,Kebab,Biryani,Fast Food",100.0,35.0,Restaurant partner follows WHO protocol,Agra,False
Sydney Cafe,3.7,"Pizza,Fast Food,Street Food",100.0,65.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Tomars Hygiene Kitchen,4.2,"North Indian,Mughlai",100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Chimmanlal Puri Wale-Chhoti Dukaan,3.7,"North Indian,Street Food",100.0,23.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Romos Bistro,3.8,"North Indian,Chinese",100.0,46.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shayhub,4.0,"Fast Food,Beverages,Pizza,Sandwich",100.0,41.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
New Agra Fast Food & Restaurant,4.0,"North Indian,South Indian",100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shri Thakur Ji Misthan Bhandar,3.7,"Mithai,North Indian,South Indian,Fast Food,Chinese,Street Food,Pizza",100.0,32.0,Restaurant partner follows WHO protocol,Agra,False
D'zurt Cafe,4.2,"Cafe,Fast Food,Burger,Sandwich,Wraps,Momos,Desserts,Street Food",100.0,37.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Sasural The Restro,3.7,"North Indian,Chinese,Momos,Fast Food,Pizza,Burger,Beverages",250.0,48.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Chanchal Hotel,3.7,North Indian,250.0,27.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Le Vera Pizza,4.0,"Pizza,Chinese,Fast Food,Beverages",250.0,38.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Om Sai Food Court,4.2,"Fast Food,Street Food",250.0,45.0,Restaurant partner follows WHO protocol,Agra,False
Pandit Bhojnalaya,3.7,North Indian,250.0,47.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Ratan Pizza,3.8,"Pizza,Fast Food,Bakery",250.0,41.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Agra Chat Cafe,3.5,Street Food,250.0,29.0,Restaurant partner follows WHO protocol,Agra,False
SSS Cafe',4.3,"Pizza,Chinese,Pasta,Sandwich,American,Fast Food,Beverages",250.0,39.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Gupta Ji Veg Biriyani and Fast Food,3.8,Biryani,250.0,44.0,Restaurant partner follows WHO protocol,Agra,False
Gopeshwar Yadav Dhaba Purana,3.6,North Indian,250.0,39.0,Restaurant partner follows WHO protocol,Agra,False
Vadilal Ice Creams,4.4,"Ice Cream,Desserts",250.0,25.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Agarwal Chat Bhandhar,4.1,"Street Food,South Indian",250.0,24.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
NIC Ice Creams,4.4,"Ice Cream,Desserts",100.0,20.0,Restaurant partner follows WHO protocol,Agra,False
Sargra Online Cake Delivery,3.6,Bakery,100.0,42.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Divyanshi Fast Food Center,3.7,"Chinese,Fast Food,Pizza,Burger",100.0,49.0,Restaurant partner follows WHO protocol,Agra,False
Brijwasi Sweets & Restaurant,3.9,"Mithai,North Indian,South Indian,Fast Food,Shake",100.0,25.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Gyani Dhaba,4.0,North Indian,100.0,46.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Cake Factory,3.7,Bakery,100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
MMC Me N My Choice,4.1,Bakery,100.0,32.0,Restaurant partner follows WHO protocol,Agra,False
Agra Fast Food And Restaurant,3.8,"North Indian,South Indian",100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Tirupati's Dosa Factory,3.9,"South Indian,Chinese,Beverages",100.0,32.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Veer Ji Malai Chaap Wale,3.6,"Chinese,North Indian,Fast Food,Momos,Rolls,Biryani",100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
The Mud Shakes,4.3,"Beverages,Shake,Waffle,Fast Food",100.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Kings Kulfi And Icecreams,4.5,"Ice Cream,Desserts",100.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Burger27,4.1,"Burger,Wraps,Sandwich,Fast Food,Beverages",150.0,28.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Laziz Family Restaurant,3.6,North Indian,150.0,29.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Chhabra Bakers And Confectioners,4.1,"Bakery,Desserts,Fast Food,Pizza,Street Food",150.0,25.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Chainess,4.2,"Street Food,Sandwich,Fast Food,Tea,Beverages",150.0,26.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Pizza Hub,3.3,"Pizza,Fast Food",150.0,44.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Chennai Express,3.6,"South Indian,North Indian,Chinese",150.0,42.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Mama's Parantha,3.8,"North Indian,Fast Food,Sandwich,Chinese",150.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
